implementation,byte_value,time_ns,sample_id
Vulnerable (Naive),2,69116.6,5
Safe (PyCryptodome),2,29846.4,5
Vulnerable (Naive),2,208673.8,6
Safe (PyCryptodome),2,59005.4,6
Vulnerable (Naive),2,269112.8,7
Safe (PyCryptodome),2,24479.6,7
Vulnerable (Naive),2,167181.2,8
Safe (PyCryptodome),2,33825.2,8
Vulnerable (Naive),2,335597.8,9
Safe (PyCryptodome),2,33787.8,9
Vulnerable (Naive),2,198319.4,10
Safe (PyCryptodome),2,35963.2,10
Vulnerable (Naive),2,459667.6,11
Safe (PyCryptodome),2,26885.4,11
Vulnerable (Naive),2,368336.8,12
Safe (PyCryptodome),2,25247.0,12
Vulnerable (Naive),2,285474.0,13
Safe (PyCryptodome),2,28444.8,13
Vulnerable (Naive),2,221474.6,14
Safe (PyCryptodome),2,23381.0,14
Vulnerable (Naive),2,277043.4,15
Safe (PyCryptodome),2,67915.8,15
Vulnerable (Naive),2,291606.0,16
Safe (PyCryptodome),2,27383.6,16
Vulnerable (Naive),2,178684.2,17
Safe (PyCryptodome),2,22593.6,17
Vulnerable (Naive),2,442910.6,18
Safe (PyCryptodome),2,37062.4,18
Vulnerable (Naive),2,433142.4,19
Safe (PyCryptodome),2,26956.6,19
Vulnerable (Naive),2,231161.2,20
Safe (PyCryptodome),2,31204.6,20
Vulnerable (Naive),2,225114.0,21
Safe (PyCryptodome),2,32645.2,21
Vulnerable (Naive),2,285053.0,22
Safe (PyCryptodome),2,29632.6,22
Vulnerable (Naive),2,228456.4,23
Safe (PyCryptodome),2,25622.6,23
Vulnerable (Naive),2,271024.0,24
Safe (PyCryptodome),2,27538.0,24
Vulnerable (Naive),2,275233.4,25
Safe (PyCryptodome),2,28500.0,25
Vulnerable (Naive),2,304288.2,26
Safe (PyCryptodome),2,39113.4,26
Vulnerable (Naive),2,293804.6,27
Safe (PyCryptodome),2,30932.8,27
Vulnerable (Naive),2,247327.8,28
Safe (PyCryptodome),2,26369.8,28
Vulnerable (Naive),2,271128.2,29
Safe (PyCryptodome),2,24112.8,29
Vulnerable (Naive),2,171376.8,30
Safe (PyCryptodome),2,26071.0,30
Vulnerable (Naive),2,336945.6,31
Safe (PyCryptodome),2,37137.8,31
Vulnerable (Naive),2,339793.2,32
Safe (PyCryptodome),2,31090.6,32
Vulnerable (Naive),2,233315.8,33
Safe (PyCryptodome),2,23028.4,33
Vulnerable (Naive),2,315260.2,34
Safe (PyCryptodome),2,43465.6,34
Vulnerable (Naive),2,376180.6,35
Safe (PyCryptodome),2,40493.8,35
Vulnerable (Naive),2,409589.6,36
Safe (PyCryptodome),2,26595.0,36
Vulnerable (Naive),2,147281.6,37
Safe (PyCryptodome),2,37223.2,37
Vulnerable (Naive),2,191037.6,38
Safe (PyCryptodome),2,32065.4,38
Vulnerable (Naive),2,254412.6,39
Safe (PyCryptodome),2,35089.4,39
Vulnerable (Naive),2,642476.6,40
Safe (PyCryptodome),2,49492.0,40
Vulnerable (Naive),2,1014060.4,41
Safe (PyCryptodome),2,5635.8,41
Vulnerable (Naive),2,43443.4,42
Safe (PyCryptodome),2,3383.4,42
Vulnerable (Naive),2,40126.0,43
Safe (PyCryptodome),2,5404.0,43
Vulnerable (Naive),2,44419.8,44
Safe (PyCryptodome),2,5185.8,44
Vulnerable (Naive),2,50513.0,45
Safe (PyCryptodome),2,3445.8,45
Vulnerable (Naive),2,59542.2,46
Safe (PyCryptodome),2,3331.4,46
Vulnerable (Naive),2,37926.2,47
Safe (PyCryptodome),2,4379.6,47
Vulnerable (Naive),2,44885.0,48
Safe (PyCryptodome),2,2854.0,48
Vulnerable (Naive),2,32838.6,49
Safe (PyCryptodome),2,2950.6,49
Vulnerable (Naive),3,37284.6,0
Safe (PyCryptodome),3,3363.6,0
Vulnerable (Naive),3,25294.4,1
Safe (PyCryptodome),3,2857.2,1
Vulnerable (Naive),3,35583.2,2
Safe (PyCryptodome),3,3013.8,2
Vulnerable (Naive),3,40344.4,3
Safe (PyCryptodome),3,4090.4,3
Vulnerable (Naive),3,22008.6,4
Safe (PyCryptodome),3,2571.0,4
Vulnerable (Naive),3,40409.2,5
Safe (PyCryptodome),3,3228.8,5
Vulnerable (Naive),3,43602.8,6
Safe (PyCryptodome),3,6037.4,6
Vulnerable (Naive),3,38838.6,7
Safe (PyCryptodome),3,2903.4,7
Vulnerable (Naive),3,61204.6,8
Safe (PyCryptodome),3,3834.8,8
Vulnerable (Naive),3,42143.4,9
Safe (PyCryptodome),3,5943.2,9
Vulnerable (Naive),3,31825.4,10
Safe (PyCryptodome),3,4203.4,10
Vulnerable (Naive),3,33787.2,11
Safe (PyCryptodome),3,2901.8,11
Vulnerable (Naive),3,34461.2,12
Safe (PyCryptodome),3,3242.0,12
Vulnerable (Naive),3,36469.2,13
Safe (PyCryptodome),3,3153.6,13
Vulnerable (Naive),3,37509.8,14
Safe (PyCryptodome),3,4850.8,14
Vulnerable (Naive),3,26814.4,15
Safe (PyCryptodome),3,2752.8,15
Vulnerable (Naive),3,21908.4,16
Safe (PyCryptodome),3,2664.2,16
Vulnerable (Naive),3,26754.4,17
Safe (PyCryptodome),3,5320.2,17
Vulnerable (Naive),3,36213.6,18
Safe (PyCryptodome),3,3400.0,18
Vulnerable (Naive),3,28363.6,19
Safe (PyCryptodome),3,3718.4,19
Vulnerable (Naive),3,41175.4,20
Safe (PyCryptodome),3,3261.8,20
Vulnerable (Naive),3,44691.6,21
Safe (PyCryptodome),3,3946.0,21
Vulnerable (Naive),3,35143.6,22
Safe (PyCryptodome),3,3663.0,22
Vulnerable (Naive),3,35179.8,23
Safe (PyCryptodome),3,4620.6,23
Vulnerable (Naive),3,38142.6,24
Safe (PyCryptodome),3,2700.2,24
Vulnerable (Naive),3,26432.6,25
Safe (PyCryptodome),3,2811.4,25
Vulnerable (Naive),3,12318.2,26
Safe (PyCryptodome),3,4121.2,26
Vulnerable (Naive),3,20158.6,27
Safe (PyCryptodome),3,2852.8,27
Vulnerable (Naive),3,46742.8,28
Safe (PyCryptodome),3,4345.0,28
Vulnerable (Naive),3,31441.8,29
Safe (PyCryptodome),3,3440.2,29
Vulnerable (Naive),3,25104.4,30
Safe (PyCryptodome),3,3803.4,30
Vulnerable (Naive),3,19087.0,31
Safe (PyCryptodome),3,3354.2,31
Vulnerable (Naive),3,40239.4,32
Safe (PyCryptodome),3,4237.8,32
Vulnerable (Naive),3,27767.4,33
Safe (PyCryptodome),3,2689.8,33
Vulnerable (Naive),3,16534.0,34
Safe (PyCryptodome),3,3402.6,34
Vulnerable (Naive),3,46416.2,35
Safe (PyCryptodome),3,5443.8,35
Vulnerable (Naive),3,40389.6,36
Safe (PyCryptodome),3,2789.6,36
Vulnerable (Naive),3,25928.2,37
Safe (PyCryptodome),3,2332.0,37
Vulnerable (Naive),3,30058.8,38
Safe (PyCryptodome),3,2229.0,38
Vulnerable (Naive),3,15015.8,39
Safe (PyCryptodome),3,2630.0,39
Vulnerable (Naive),3,21935.4,40
Safe (PyCryptodome),3,2236.8,40
Vulnerable (Naive),3,23606.0,41
Safe (PyCryptodome),3,2615.8,41
Vulnerable (Naive),3,20807.0,42
Safe (PyCryptodome),3,2650.6,42
Vulnerable (Naive),3,33004.4,43
Safe (PyCryptodome),3,2598.2,43
Vulnerable (Naive),3,24458.2,44
Safe (PyCryptodome),3,2189.6,44
Vulnerable (Naive),3,22865.6,45
Safe (PyCryptodome),3,2267.2,45
Vulnerable (Naive),3,38285.4,46
Safe (PyCryptodome),3,2507.4,46
Vulnerable (Naive),3,17767.6,47
Safe (PyCryptodome),3,2497.2,47
Vulnerable (Naive),3,22093.8,48
Safe (PyCryptodome),3,2659.2,48
Vulnerable (Naive),3,22465.4,49
Safe (PyCryptodome),3,2461.2,49
Vulnerable (Naive),4,20665.6,0
Safe (PyCryptodome),4,2358.2,0
Vulnerable (Naive),4,20249.0,1
Safe (PyCryptodome),4,2936.8,1
Vulnerable (Naive),4,29186.8,2
Safe (PyCryptodome),4,2448.6,2
Vulnerable (Naive),4,17180.6,3
Safe (PyCryptodome),4,3372.2,3
Vulnerable (Naive),4,34501.6,4
Safe (PyCryptodome),4,2559.6,4
Vulnerable (Naive),4,27748.2,5
Safe (PyCryptodome),4,2046.0,5
Vulnerable (Naive),4,40215.6,6
Safe (PyCryptodome),4,3952.6,6
Vulnerable (Naive),4,29930.0,7
Safe (PyCryptodome),4,3525.0,7
Vulnerable (Naive),4,28991.6,8
Safe (PyCryptodome),4,2128.0,8
Vulnerable (Naive),4,23321.4,9
Safe (PyCryptodome),4,3113.4,9
Vulnerable (Naive),4,29464.8,10
Safe (PyCryptodome),4,2477.8,10
Vulnerable (Naive),4,31960.0,11
Safe (PyCryptodome),4,2415.2,11
Vulnerable (Naive),4,23491.2,12
Safe (PyCryptodome),4,2867.6,12
Vulnerable (Naive),4,18279.6,13
Safe (PyCryptodome),4,2699.2,13
Vulnerable (Naive),4,29713.0,14
Safe (PyCryptodome),4,4024.8,14
Vulnerable (Naive),4,24046.4,15
Safe (PyCryptodome),4,3671.6,15
Vulnerable (Naive),4,30556.2,16
Safe (PyCryptodome),4,2947.4,16
Vulnerable (Naive),4,19483.2,17
Safe (PyCryptodome),4,3333.4,17
Vulnerable (Naive),4,39891.0,18
Safe (PyCryptodome),4,5569.6,18
Vulnerable (Naive),4,76112.2,19
Safe (PyCryptodome),4,5701.4,19
Vulnerable (Naive),4,76135.0,20
Safe (PyCryptodome),4,4720.0,20
Vulnerable (Naive),4,33724.8,21
Safe (PyCryptodome),4,5032.6,21
Vulnerable (Naive),4,38035.6,22
Safe (PyCryptodome),4,3360.6,22
Vulnerable (Naive),4,30995.2,23
Safe (PyCryptodome),4,3883.6,23
Vulnerable (Naive),4,29839.0,24
Safe (PyCryptodome),4,3208.8,24
Vulnerable (Naive),4,33695.0,25
Safe (PyCryptodome),4,3555.2,25
Vulnerable (Naive),4,31776.4,26
Safe (PyCryptodome),4,4265.6,26
Vulnerable (Naive),4,30290.6,27
Safe (PyCryptodome),4,3303.0,27
Vulnerable (Naive),4,30497.4,28
Safe (PyCryptodome),4,3592.8,28
Vulnerable (Naive),4,46374.2,29
Safe (PyCryptodome),4,4638.0,29
Vulnerable (Naive),4,44276.2,30
Safe (PyCryptodome),4,3212.0,30
Vulnerable (Naive),4,44925.6,31
Safe (PyCryptodome),4,3781.4,31
Vulnerable (Naive),4,41308.0,32
Safe (PyCryptodome),4,3427.2,32
Vulnerable (Naive),4,43850.6,33
Safe (PyCryptodome),4,4022.8,33
Vulnerable (Naive),4,34587.2,34
Safe (PyCryptodome),4,3591.2,34
Vulnerable (Naive),4,45587.4,35
Safe (PyCryptodome),4,4365.6,35
Vulnerable (Naive),4,35341.4,36
Safe (PyCryptodome),4,4751.8,36
Vulnerable (Naive),4,33186.8,37
Safe (PyCryptodome),4,4248.8,37
Vulnerable (Naive),4,21494.4,38
Safe (PyCryptodome),4,3557.4,38
Vulnerable (Naive),4,33441.2,39
Safe (PyCryptodome),4,5235.8,39
Vulnerable (Naive),4,42721.6,40
Safe (PyCryptodome),4,3845.2,40
Vulnerable (Naive),4,52299.8,41
Safe (PyCryptodome),4,3865.4,41
Vulnerable (Naive),4,32771.6,42
Safe (PyCryptodome),4,3758.8,42
Vulnerable (Naive),4,32591.6,43
Safe (PyCryptodome),4,5059.2,43
Vulnerable (Naive),4,31616.6,44
Safe (PyCryptodome),4,3269.4,44
Vulnerable (Naive),4,49129.4,45
Safe (PyCryptodome),4,3592.2,45
Vulnerable (Naive),4,42997.2,46
Safe (PyCryptodome),4,6277.4,46
Vulnerable (Naive),4,44123.8,47
Safe (PyCryptodome),4,3059.4,47
Vulnerable (Naive),4,33008.6,48
Safe (PyCryptodome),4,2642.8,48
Vulnerable (Naive),4,44082.2,49
Safe (PyCryptodome),4,4007.6,49
Vulnerable (Naive),5,33845.6,0
Safe (PyCryptodome),5,3592.0,0
Vulnerable (Naive),5,23887.6,1
Safe (PyCryptodome),5,2477.2,1
Vulnerable (Naive),5,36476.2,2
Safe (PyCryptodome),5,4111.6,2
Vulnerable (Naive),5,25490.0,3
Safe (PyCryptodome),5,2573.4,3
Vulnerable (Naive),5,26098.4,4
Safe (PyCryptodome),5,4095.6,4
Vulnerable (Naive),5,35834.8,5
Safe (PyCryptodome),5,3922.0,5
Vulnerable (Naive),5,51385.8,6
Safe (PyCryptodome),5,3550.6,6
Vulnerable (Naive),5,36254.2,7
Safe (PyCryptodome),5,3371.6,7
Vulnerable (Naive),5,47002.8,8
Safe (PyCryptodome),5,3080.0,8
Vulnerable (Naive),5,29667.8,9
Safe (PyCryptodome),5,3312.4,9
Vulnerable (Naive),5,33257.6,10
Safe (PyCryptodome),5,2307.0,10
Vulnerable (Naive),5,31548.0,11
Safe (PyCryptodome),5,2454.2,11
Vulnerable (Naive),5,23568.8,12
Safe (PyCryptodome),5,2492.6,12
Vulnerable (Naive),5,19885.0,13
Safe (PyCryptodome),5,2438.2,13
Vulnerable (Naive),5,22838.0,14
Safe (PyCryptodome),5,2152.6,14
Vulnerable (Naive),5,21514.0,15
Safe (PyCryptodome),5,2150.6,15
Vulnerable (Naive),5,17876.2,16
Safe (PyCryptodome),5,2154.6,16
Vulnerable (Naive),5,14237.6,17
Safe (PyCryptodome),5,2285.0,17
Vulnerable (Naive),5,18062.4,18
Safe (PyCryptodome),5,2276.0,18
Vulnerable (Naive),5,34524.2,19
Safe (PyCryptodome),5,6162.0,19
Vulnerable (Naive),5,27101.2,20
Safe (PyCryptodome),5,3097.2,20
Vulnerable (Naive),5,27289.6,21
Safe (PyCryptodome),5,2467.6,21
Vulnerable (Naive),5,15310.0,22
Safe (PyCryptodome),5,2204.4,22
Vulnerable (Naive),5,18177.4,23
Safe (PyCryptodome),5,2396.4,23
Vulnerable (Naive),5,25908.6,24
Safe (PyCryptodome),5,2261.2,24
Vulnerable (Naive),5,32860.2,25
Safe (PyCryptodome),5,7139.6,25
Vulnerable (Naive),5,43850.2,26
Safe (PyCryptodome),5,4659.4,26
Vulnerable (Naive),5,36491.2,27
Safe (PyCryptodome),5,5964.4,27
Vulnerable (Naive),5,32572.8,28
Safe (PyCryptodome),5,3385.8,28
Vulnerable (Naive),5,30393.0,29
Safe (PyCryptodome),5,4238.0,29
Vulnerable (Naive),5,59989.0,30
Safe (PyCryptodome),5,2838.6,30
Vulnerable (Naive),5,26967.6,31
Safe (PyCryptodome),5,6107.0,31
Vulnerable (Naive),5,26436.2,32
Safe (PyCryptodome),5,2862.0,32
Vulnerable (Naive),5,27377.0,33
Safe (PyCryptodome),5,3410.2,33
Vulnerable (Naive),5,28642.6,34
Safe (PyCryptodome),5,3236.8,34
Vulnerable (Naive),5,45459.4,35
Safe (PyCryptodome),5,4292.0,35
Vulnerable (Naive),5,28835.6,36
Safe (PyCryptodome),5,2482.8,36
Vulnerable (Naive),5,20021.0,37
Safe (PyCryptodome),5,2314.2,37
Vulnerable (Naive),5,36328.2,38
Safe (PyCryptodome),5,2322.4,38
Vulnerable (Naive),5,48238.8,39
Safe (PyCryptodome),5,2761.8,39
Vulnerable (Naive),5,35112.4,40
Safe (PyCryptodome),5,2318.4,40
Vulnerable (Naive),5,27916.8,41
Safe (PyCryptodome),5,2542.8,41
Vulnerable (Naive),5,27927.4,42
Safe (PyCryptodome),5,2388.0,42
Vulnerable (Naive),5,27439.6,43
Safe (PyCryptodome),5,2963.2,43
Vulnerable (Naive),5,36743.0,44
Safe (PyCryptodome),5,2616.6,44
Vulnerable (Naive),5,16564.6,45
Safe (PyCryptodome),5,2724.0,45
Vulnerable (Naive),5,25511.2,46
Safe (PyCryptodome),5,2726.0,46
Vulnerable (Naive),5,29255.0,47
Safe (PyCryptodome),5,2636.8,47
Vulnerable (Naive),5,41873.8,48
Safe (PyCryptodome),5,2525.6,48
Vulnerable (Naive),5,29075.4,49
Safe (PyCryptodome),5,2595.2,49
Vulnerable (Naive),6,19376.8,0
Safe (PyCryptodome),6,2653.4,0
Vulnerable (Naive),6,34419.8,1
Safe (PyCryptodome),6,2957.4,1
Vulnerable (Naive),6,22615.6,2
Safe (PyCryptodome),6,2567.4,2
Vulnerable (Naive),6,27012.4,3
Safe (PyCryptodome),6,4677.4,3
Vulnerable (Naive),6,66276.2,4
Safe (PyCryptodome),6,4621.6,4
Vulnerable (Naive),6,23141.0,5
